615	936	581
618	937	633
620	937	685
623	938	739
626	939	793
629	940	848
633	941	903
637	942	959
637	996	302
637	996	311
638	996	325
638	996	347
639	996	376
640	996	412
641	997	451
642	997	495
643	997	542
645	998	590
647	998	641
650	999	692
652	1000	745
655	1000	799
658	1001	853
662	1002	908
666	1003	964
392	78	31
392	78	76
393	79	125
394	81	179
395	84	234
396	87	291
398	92	349
401	97	406
403	102	464
407	109	522
410	115	580
414	123	638
419	131	696
424	139	755
430	147	813
436	156	871
442	165	929
394	111	36
394	112	79
395	112	127
396	114	180
397	116	235
398	118	292
400	122	349
402	126	407
405	130	465
408	135	523
412	141	581
416	147	639
421	153	697
426	160	755
431	168	813
437	176	871
444	184	930
398	155	44
398	155	84
398	156	130
399	157	182
400	158	237
402	160	293
404	163	350
406	166	408
409	169	465
412	173	523
416	177	581
420	182	639
424	187	697
429	193	755
435	199	813
440	206	872
447	213	930
403	207	56
404	207	91
404	208	135
405	209	186
406	210	240
407	211	296
409	213	352
412	215	409
414	218	467
417	221	524
421	224	582
425	228	640
430	232	698
434	237	756
440	242	814
446	247	872
452	252	930
412	264	71
412	264	102
412	264	143
413	265	191
414	266	244
416	267	299
417	268	355
420	270	411
422	272	469
425	274	526
429	277	583
433	280	641
437	283	699
442	287	757
447	291	815
453	295	873
459	299	931
422	322	87
422	322	114
423	323	152
424	323	198
425	324	249
426	325	303
428	326	358
430	327	414
432	329	471
435	330	528
439	333	585
443	335	643
447	338	701
452	341	758
457	344	816
462	347	874
468	351	932
435	382	105
435	382	128
436	382	163
436	383	207
437	383	256
439	384	308
440	385	363
443	386	418
445	387	474
448	389	531
451	390	588
455	392	645
459	395	702
463	397	760
468	400	818
474	403	876
480	406	933
450	442	123
451	442	144
451	443	175
452	443	216
453	443	264
454	444	315
456	445	368
458	446	422
460	447	478
463	448	534
466	449	591
469	451	647
473	453	705
478	455	762
482	457	820
488	460	877
493	462	935
468	503	142
468	503	160
468	503	189
469	504	228
470	504	273
471	505	322
473	505	374
475	506	427
477	507	482
480	508	538
483	509	594
486	511	650
490	512	707
494	514	765
498	516	822
503	518	879
509	520	937
487	564	162
487	564	178
488	565	204
488	565	240
489	565	283
490	566	330
492	566	381
494	567	433
496	568	487
498	569	542
501	570	598
505	571	654
508	572	711
512	574	767
516	576	824
521	577	882
526	579	939
508	626	181
509	626	196
509	626	220
510	626	253
510	626	294
512	627	339
513	627	389
515	628	440
517	629	493
519	629	547
522	630	602
525	632	658
528	633	714
532	634	771
536	636	827
541	637	884
546	639	942
531	687	201
532	687	215
532	688	236
532	688	267
533	688	306
534	688	350
536	689	397
537	689	448
539	690	500
541	691	553
544	691	607
547	692	663
550	694	718
554	695	774
558	696	831
562	698	887
567	699	944
556	749	222
556	749	233
556	749	253
557	749	282
558	750	319
559	750	361
560	750	407
561	751	456
563	751	507
565	752	559
568	753	613
570	754	668
574	755	723
577	756	778
581	757	835
585	758	891
589	760	948
581	811	242
582	811	253
582	811	271
582	811	298
583	811	332
584	812	373
585	812	417
587	812	465
588	813	515
590	814	566
593	814	619
595	815	673
598	816	728
602	817	783
605	818	839
609	819	895
613	820	951
608	873	262
608	873	272
609	873	289
609	873	314
610	873	347
611	873	385
612	874	428
613	874	474
615	875	523
617	875	574
619	876	626
621	877	679
624	877	733
627	878	788
631	879	843
634	880	899
638	881	955
636	935	283
636	935	292
636	935	308
637	935	331
637	935	362
638	935	399
639	936	440
641	936	485
642	936	532
644	937	582
646	937	633
648	938	686
651	939	739
654	940	793
657	941	848
661	942	904
665	943	959
665	997	303
665	997	312
665	997	326
666	997	348
666	997	377
667	997	413
668	998	452
669	998	496
671	998	542
672	999	591
674	999	641
676	1000	693
679	1000	746
682	1001	799
685	1002	854
688	1003	909
692	1004	964
449	95	42
449	95	82
450	96	129
450	98	182
451	100	237
453	103	293
454	107	350
456	111	407
459	116	465
461	122	523
465	128	581
468	135	639
472	142	697
476	149	755
481	157	813
486	165	872
